code,player,club,position,xmins,tm_id,tm_name,tm_pos,tm_dob,current_injury,match_score,match_route,pos_agrees,expected_games_missed_2627,current_injury_games,seasons_of_history,career_games_missed,career_days_out,spells,first_spell,days_out_L1,days_out_L2,days_out_L3,days_illness_L1_3,days_joint_L1_3,days_muscle_L1_3,days_impact_L1_3,days_back_L1_3,days_other_L1_3
224967,Vitalii Mykolenko,EVE,DEF,3004.0,404842,Vitaliy Mykolenko,DEF,1999-05-29,,92.0,2026/27 club squad,True,9.7,,5.0,47,331,23,2019-05-16,47.0,84.0,59.0,19.0,72.0,71.0,11.0,0.0,17.0
494595,Florian Wirtz,LIV,MID,2902.0,598577,Florian Wirtz,MID,2003-05-03,,100.0,2026/27 club squad,True,9.22,,5.0,81,488,21,2019-07-18,24.0,33.0,15.0,4.0,30.0,11.0,12.0,12.0,3.0
231416,Ferdi Kadioglu,BHA,DEF,3198.0,369316,Ferdi Kadıoğlu,DEF,1999-10-07,,92.85714285714286,2026/27 club squad,True,9.22,,5.0,82,484,22,2016-09-15,16.0,253.0,47.0,0.0,0.0,38.0,11.0,0.0,267.0
199796,Matty Cash,AVL,DEF,3342.0,425334,Matty Cash,DEF,1997-08-07,,100.0,2026/27 club squad,True,9.22,,5.0,56,317,14,2016-09-11,19.0,80.0,58.0,3.0,13.0,133.0,0.0,0.0,8.0
441264,Brian Brobbey,SUN,FWD,2884.0,473169,Brian Brobbey,FWD,2002-02-01,,100.0,2026/27 club squad,True,8.73,,5.0,64,460,20,2019-08-08,38.0,22.0,59.0,4.0,21.0,64.0,6.0,0.0,24.0
445122,Jurriën Timber,ARS,DEF,2878.0,420243,Jurriën Timber,DEF,2001-06-17,Groin injury - Return unknown,100.0,2026/27 club squad,True,8.73,,5.0,93,553,18,2020-10-17,87.0,48.0,253.0,6.0,310.0,61.0,7.0,0.0,4.0
466525,Anton Stach,LEE,MID,2964.0,344069,Anton Stach,MID,1998-11-15,,100.0,2026/27 club squad,True,8.73,,5.0,37,272,13,2018-04-16,64.0,20.0,0.0,3.0,31.0,4.0,30.0,16.0,0.0
223723,Takehiro Tomiyasu,CRY,DEF,2822.0,331560,Takehiro Tomiyasu,DEF,1998-11-05,,100.0,2026/27 club squad,True,8.73,,5.0,142,892,16,2018-11-17,152.0,342.0,74.0,0.0,436.0,93.0,0.0,0.0,39.0
177815,Dominic Calvert-Lewin,LEE,FWD,3084.0,306024,Dominic Calvert-Lewin,FWD,1997-03-16,,100.0,2026/27 club squad,True,8.73,,5.0,110,729,18,2017-01-02,15.0,110.0,51.0,11.0,10.0,100.0,26.0,0.0,29.0
116535,Alisson Becker,LIV,GKP,3385.0,105470,Alisson,GKP,1992-10-02,,95.0,2026/27 club squad,True,8.73,,5.0,107,549,20,2015-06-29,122.0,127.0,75.0,9.0,0.0,291.0,18.0,0.0,6.0
480455,Jarrad Branthwaite,EVE,DEF,3203.0,661053,Jarrad Branthwaite,DEF,2002-06-27,,100.0,2026/27 club squad,True,8.25,,5.0,65,478,12,2020-09-16,211.0,138.0,0.0,0.0,0.0,344.0,0.0,0.0,5.0
441191,Tino Livramento,NEW,DEF,3215.0,503981,Tino Livramento,DEF,2002-11-12,Knee injury - Return unknown,100.0,2026/27 club squad,True,8.25,,5.0,100,677,11,2022-01-06,185.0,6.0,56.0,15.0,132.0,100.0,0.0,0.0,0.0
106760,Luke Shaw,MUN,DEF,2992.0,183288,Luke Shaw,DEF,1995-07-12,,100.0,2026/27 club squad,True,8.25,,5.0,313,1710,34,2013-02-04,5.0,310.0,239.0,5.0,81.0,452.0,0.0,0.0,16.0
467779,Mats Wieffer,BHA,DEF,2787.0,415381,Mats Wieffer,DEF,1999-11-16,,100.0,2026/27 club squad,True,7.76,,5.0,49,323,10,2020-09-11,65.0,105.0,65.0,3.0,18.0,92.0,0.0,0.0,122.0
244851,Cole Palmer,CHE,MID,2884.0,568177,Cole Palmer,MID,2002-05-06,,100.0,2026/27 club squad,True,7.76,,5.0,56,258,11,2021-01-06,114.0,26.0,4.0,4.0,0.0,123.0,17.0,0.0,0.0
223827,Dan Ballard,SUN,DEF,2867.0,503686,Dan Ballard,DEF,1999-09-22,,100.0,2026/27 club squad,True,7.76,,5.0,113,752,10,2019-08-13,54.0,174.0,3.0,0.0,109.0,122.0,0.0,0.0,0.0
180736,Trevoh Chalobah,CHE,DEF,2780.0,346314,Trevoh Chalobah,DEF,1999-07-05,,100.0,league-wide fall-back,True,7.76,,5.0,65,399,13,2017-07-10,32.0,72.0,192.0,0.0,32.0,212.0,0.0,13.0,39.0
223094,Erling Haaland,MCI,FWD,3204.0,418560,Erling Haaland,FWD,2000-07-21,,100.0,2026/27 club squad,True,7.76,,5.0,68,360,23,2018-10-29,4.0,42.0,73.0,0.0,52.0,9.0,4.0,0.0,54.0
462424,William Saliba,ARS,DEF,3278.0,495666,William Saliba,DEF,2001-03-24,Back injury - Return unknown,100.0,2026/27 club squad,True,7.27,,5.0,55,407,11,2019-05-23,55.0,8.0,11.0,6.0,34.0,8.0,15.0,0.0,11.0
444102,Evanilson,BOU,FWD,2662.0,711337,Evanilson,FWD,1999-10-06,,100.0,2026/27 club squad,True,7.27,,5.0,33,213,10,2020-09-25,15.0,48.0,45.0,0.0,18.0,42.0,48.0,0.0,0.0
200785,Tyler Adams,BOU,MID,2633.0,332705,Tyler Adams,MID,1999-02-14,,100.0,2026/27 club squad,True,7.27,,5.0,122,717,18,2018-09-25,84.0,93.0,190.0,0.0,64.0,187.0,0.0,116.0,0.0
220566,Rodri,MCI,MID,2804.0,357565,Rodri,MID,1996-06-22,Back injury - Return unknown,100.0,2026/27 club squad,True,7.27,,5.0,88,458,11,2019-10-22,134.0,282.0,0.0,0.0,248.0,149.0,0.0,0.0,19.0
221820,Lisandro Martínez,MUN,DEF,3089.0,480762,Lisandro Martínez,DEF,1998-01-18,,100.0,2026/27 club squad,True,7.27,,5.0,120,734,12,2019-07-05,189.0,151.0,191.0,0.0,347.0,75.0,0.0,3.0,106.0
223340,Bukayo Saka,ARS,MID,2827.0,433177,Bukayo Saka,FWD,2001-09-05,,100.0,2026/27 club squad,False,7.27,,5.0,49,258,13,2020-02-03,68.0,114.0,44.0,0.0,0.0,167.0,0.0,13.0,46.0
532529,Jack Hinshelwood,BHA,MID,2782.0,867688,Jack Hinshelwood,MID,2005-04-11,,100.0,2026/27 club squad,True,7.19,,3.0,47,342,5,2024-02-04,84.0,110.0,148.0,3.0,147.0,0.0,192.0,0.0,0.0
98980,Emiliano Martínez,AVL,GKP,3385.0,111873,Emiliano Martínez,GKP,1992-09-02,,100.0,2026/27 club squad,True,6.79,,5.0,9,46,8,2022-05-20,27.0,9.0,0.0,0.0,0.0,24.0,3.0,0.0,9.0
201658,Marcus Tavernier,BOU,MID,3061.0,399434,Marcus Tavernier,MID,1999-03-22,,100.0,2026/27 club squad,True,6.79,,5.0,37,299,7,2022-11-13,35.0,62.0,29.0,0.0,0.0,111.0,0.0,0.0,15.0
430871,Matheus Cunha,MUN,MID,2616.0,517894,Matheus Cunha,FWD,1999-05-27,,100.0,2026/27 club squad,False,6.79,,5.0,43,270,15,2020-01-19,46.0,0.0,58.0,0.0,0.0,90.0,14.0,0.0,0.0
240514,Kjell Scherpen,IPS,GKP,3317.0,463527,Kjell Scherpen,GKP,2000-01-23,,100.0,2026/27 club squad,True,6.79,,5.0,42,357,8,2021-07-24,45.0,36.0,195.0,3.0,228.0,27.0,18.0,0.0,0.0
448047,Enzo Fernández,CHE,MID,3146.0,648195,Enzo Fernández,MID,2001-01-17,,100.0,2026/27 club squad,True,6.79,,5.0,14,85,7,2023-12-19,20.0,11.0,54.0,3.0,20.0,37.0,8.0,0.0,17.0
128295,Christian Nørgaard,EVE,MID,2804.0,148367,Christian Nørgaard,MID,1994-03-10,,100.0,2026/27 club squad,True,6.79,,5.0,107,603,14,2012-09-24,36.0,35.0,65.0,0.0,0.0,0.0,52.0,39.0,45.0
444765,Sepp van den Berg,BRE,DEF,2947.0,541231,Sepp van den Berg,DEF,2001-12-20,,100.0,2026/27 club squad,True,6.79,,5.0,33,359,9,2018-09-24,11.0,42.0,42.0,0.0,29.0,55.0,11.0,0.0,0.0
166989,Youri Tielemans,MUN,MID,2764.0,249565,Youri Tielemans,MID,1997-05-07,,100.0,2026/27 club squad,True,6.79,,5.0,65,335,10,2016-09-16,112.0,16.0,70.0,0.0,57.0,141.0,0.0,0.0,0.0
