source_name,rank,player_name,player_team,ranking_url,ranking_date
Premier League (The Scout) - FPL Draft Top 20 Forwards,1,Erling Haaland,Man City,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,2,Joao Pedro,Chelsea,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,3,Igor Thiago,Brentford,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,4,Alexander Isak,Liverpool,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,5,Viktor Gyokeres,Arsenal,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,6,Ollie Watkins,Aston Villa,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,7,Jean-Philippe Mateta,Crystal Palace,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,8,Dominic Calvert-Lewin,Leeds,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,9,Igor Jesus,Nottingham Forest,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,10,Evanilson,Bournemouth,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,11,Richarlison,Spurs,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,12,Brian Brobbey,Sunderland,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,13,Benjamin Sesko,Man Utd,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,14,Yoane Wissa,Newcastle,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,15,Oli McBurnie,Hull,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,16,Kai Havertz,Arsenal,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,17,Gonzalo Garcia,Fulham,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,18,Emersonn,Ipswich,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,19,Dominic Solanke,Spurs,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 20 Forwards,20,Haji Wright,Coventry,https://www.premierleague.com/en/news/4684632/best-20-forwards-to-pick-in-fpl-draft,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,1,Gabriel,Arsenal,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,2,Josko Gvardiol,Man City,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,3,Virgil van Dijk,Liverpool,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,4,Nico O'Reilly,Man City,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,5,Marc Guehi,Man City,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,6,Neco Williams,Nottingham Forest,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,7,Pedro Porro,Spurs,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,8,Maxence Lacroix,Chelsea,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,9,James Tarkowski,Everton,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
Premier League (The Scout) - FPL Draft Top 25 Defenders,10,Adrien Truffert,Bournemouth,https://www.premierleague.com/en/news/4684589/fpl-draft-top-25-defender-rankings,2026-08-10
