block,season,key,metric,value,note
bands,2026-27,FORECAST 26/27,band 0,108.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,band 1-500,123.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,band 500-1500,108.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,band 1500-2500,108.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,band 2500-3000,74.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,band 3000+,61.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,n players,582.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,total minutes,751407.0,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,mean,1291.1,"registered 26/27 squads, n=587"
bands,2026-27,FORECAST 26/27,median,1013.0,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p10,0.0,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p20,15.0,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p30,175.2,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p40,530.4,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p50,1013.0,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p60,1600.0,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p70,2150.0,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p80,2654.8,"registered 26/27 squads, n=587"
deciles,2026-27,FORECAST 26/27,p90,3041.1,"registered 26/27 squads, n=587"
thresholds,2026-27,FORECAST 26/27,>=1000,296.0,"registered 26/27 squads, n=587"
thresholds,2026-27,FORECAST 26/27,>=1500,246.0,"registered 26/27 squads, n=587"
thresholds,2026-27,FORECAST 26/27,>=2000,194.0,"registered 26/27 squads, n=587"
thresholds,2026-27,FORECAST 26/27,>=2500,139.0,"registered 26/27 squads, n=587"
thresholds,2026-27,FORECAST 26/27,>=2750,103.0,"registered 26/27 squads, n=587"
thresholds,2026-27,FORECAST 26/27,>=3000,63.0,"registered 26/27 squads, n=587"
thresholds,2026-27,FORECAST 26/27,>=3200,35.0,"registered 26/27 squads, n=587"
concentration,2026-27,FORECAST 26/27,gini,0.5152,"registered 26/27 squads, n=587"
bands,2023-24,actual 2023-24 all,band 0,295.0,end-of-season FPL roster
